id,reading_time,year,month,day,hour,minute,temperature,humidity,pm25,pm10,mq2_adc,mq7_adc,mq8_adc,quality_flag,created_at
42,3/9/2026 0:40,2026,3,9,0,40,24.1,72.1,138,148,463,601,312,0,4/12/2026 15:12
43,3/9/2026 0:41,2026,3,9,0,41,24.1,72.3,140,150,411,602,278,0,4/12/2026 15:12
44,3/9/2026 0:42,2026,3,9,0,42,24.1,72.1,137,146,411,569,316,0,4/12/2026 15:12
45,3/9/2026 0:43,2026,3,9,0,43,24,72.3,138,147,456,596,330,0,4/12/2026 15:12
46,3/9/2026 0:44,2026,3,9,0,44,24.1,72.2,137,146,457,582,279,0,4/12/2026 15:12
47,3/9/2026 0:45,2026,3,9,0,45,24.1,72.3,138,146,454,584,319,0,4/12/2026 15:12
48,3/9/2026 0:46,2026,3,9,0,46,24.1,72.2,139,147,421,535,318,0,4/12/2026 15:12
49,3/9/2026 0:47,2026,3,9,0,47,24.1,72.2,137,148,497,597,318,0,4/12/2026 15:12
50,3/9/2026 0:48,2026,3,9,0,48,24.1,72.5,138,147,463,581,323,0,4/12/2026 15:12
51,3/9/2026 0:49,2026,3,9,0,49,24.1,72.2,138,148,456,593,310,0,4/12/2026 15:12
52,3/9/2026 0:50,2026,3,9,0,50,24,72.3,133,142,406,520,327,0,4/12/2026 15:12
53,3/9/2026 0:51,2026,3,9,0,51,24,72.3,134,142,449,583,317,0,4/12/2026 15:12
54,3/9/2026 0:52,2026,3,9,0,52,23.9,72.6,135,144,452,576,314,0,4/12/2026 15:12
55,3/9/2026 0:53,2026,3,9,0,53,24,72.5,141,150,408,588,312,0,4/12/2026 15:12
56,3/9/2026 0:54,2026,3,9,0,54,23.9,72.5,131,140,477,622,290,0,4/12/2026 15:12
57,3/9/2026 0:55,2026,3,9,0,55,24,72.6,132,140,454,579,325,0,4/12/2026 15:12
58,3/9/2026 0:56,2026,3,9,0,56,24,72.3,137,146,449,529,317,0,4/12/2026 15:12
59,3/9/2026 0:57,2026,3,9,0,57,24.1,72.6,132,141,453,601,321,0,4/12/2026 15:12
60,3/9/2026 0:58,2026,3,9,0,58,24,72.4,137,146,461,582,318,0,4/12/2026 15:12
61,3/9/2026 0:59,2026,3,9,0,59,24,72.5,128,138,449,591,318,0,4/12/2026 15:12
62,3/9/2026 1:00,2026,3,9,1,0,24.1,72.2,132,141,454,590,283,0,4/12/2026 15:12
63,3/9/2026 1:01,2026,3,9,1,1,24,72.6,126,135,451,529,318,0,4/12/2026 15:12
64,3/9/2026 1:02,2026,3,9,1,2,24,72.4,133,141,450,571,315,0,4/12/2026 15:12
65,3/9/2026 1:03,2026,3,9,1,3,24,72.5,131,140,450,582,315,0,4/12/2026 15:12
66,3/9/2026 1:04,2026,3,9,1,4,23.9,72.6,134,143,449,585,279,0,4/12/2026 15:12
67,3/9/2026 1:05,2026,3,9,1,5,23.9,72.7,130,139,450,584,312,0,4/12/2026 15:12
68,3/9/2026 1:06,2026,3,9,1,6,23.9,72.8,131,141,395,574,314,0,4/12/2026 15:12
69,3/9/2026 1:07,2026,3,9,1,7,23.9,72.9,131,138,442,599,274,0,4/12/2026 15:12
70,3/9/2026 1:08,2026,3,9,1,8,23.9,72.8,128,136,405,583,318,0,4/12/2026 15:12
71,3/9/2026 1:09,2026,3,9,1,9,23.9,72.8,132,141,402,586,253,0,4/12/2026 15:12
72,3/9/2026 1:10,2026,3,9,1,10,23.8,72.7,131,140,448,570,319,0,4/12/2026 15:12
73,3/9/2026 1:11,2026,3,9,1,11,23.8,72.8,140,148,442,577,320,0,4/12/2026 15:12
74,3/9/2026 1:12,2026,3,9,1,12,23.9,73.1,132,141,450,580,324,0,4/12/2026 15:12
75,3/9/2026 1:13,2026,3,9,1,13,23.9,72.9,135,145,447,583,319,0,4/12/2026 15:12
76,3/9/2026 1:14,2026,3,9,1,14,12,176.9,137,145,429,587,316,2,4/12/2026 15:12
77,3/9/2026 1:15,2026,3,9,1,15,23.9,72.8,132,141,449,579,288,0,4/12/2026 15:12
78,3/9/2026 1:16,2026,3,9,1,16,23.9,72.8,129,137,442,582,319,0,4/12/2026 15:12
79,3/9/2026 1:17,2026,3,9,1,17,23.9,72.8,133,141,445,573,313,0,4/12/2026 15:12
80,3/9/2026 1:18,2026,3,9,1,18,23.9,73,131,140,452,577,326,0,4/12/2026 15:12
81,3/9/2026 1:19,2026,3,9,1,19,23.9,72.9,143,155,396,579,286,0,4/12/2026 15:12
82,3/9/2026 1:20,2026,3,9,1,20,23.8,73,136,145,441,581,322,0,4/12/2026 15:12
83,3/9/2026 1:21,2026,3,9,1,21,23.8,73.1,136,144,447,574,320,0,4/12/2026 15:12
84,3/9/2026 1:22,2026,3,9,1,22,23.9,73.1,139,148,399,582,312,0,4/12/2026 15:12
85,3/9/2026 1:23,2026,3,9,1,23,23.9,72.8,138,148,397,576,278,0,4/12/2026 15:12
86,3/9/2026 1:24,2026,3,9,1,24,23.9,72.7,138,148,461,574,317,0,4/12/2026 15:12
87,3/9/2026 1:25,2026,3,9,1,25,23.9,72.9,138,147,424,579,316,0,4/12/2026 15:12
88,3/9/2026 1:26,2026,3,9,1,26,24,72.9,141,146,448,572,292,0,4/12/2026 15:12
89,3/9/2026 1:27,2026,3,9,1,27,24,72.8,145,156,467,569,319,0,4/12/2026 15:12
90,3/9/2026 1:28,2026,3,9,1,28,23.9,72.6,143,152,445,572,318,0,4/12/2026 15:12
91,3/9/2026 1:29,2026,3,9,1,29,23.9,72.9,145,155,406,595,318,0,4/12/2026 15:12
92,3/9/2026 1:30,2026,3,9,1,30,23.9,72.9,142,150,455,593,286,0,4/12/2026 15:12
93,3/9/2026 1:31,2026,3,9,1,31,23.9,72.9,153,161,464,544,345,0,4/12/2026 15:12
94,3/9/2026 1:32,2026,3,9,1,32,24,72.8,154,164,454,657,286,0,4/12/2026 15:12
95,3/9/2026 1:33,2026,3,9,1,33,23.9,72.6,150,159,459,582,311,0,4/12/2026 15:12
96,3/9/2026 1:34,2026,3,9,1,34,23.9,72.6,153,162,453,603,335,0,4/12/2026 15:12
97,3/9/2026 1:35,2026,3,9,1,35,23.9,72.5,154,163,415,598,319,0,4/12/2026 15:12
98,3/9/2026 1:36,2026,3,9,1,36,23.8,72.4,154,165,463,598,309,0,4/12/2026 15:12
99,3/9/2026 1:37,2026,3,9,1,37,24,72.6,152,162,411,606,314,0,4/12/2026 15:12
100,3/9/2026 1:38,2026,3,9,1,38,23.9,72.8,151,161,499,594,319,0,4/12/2026 15:12
101,3/9/2026 1:39,2026,3,9,1,39,23.9,72.6,149,158,461,608,318,0,4/12/2026 15:12
102,3/9/2026 1:40,2026,3,9,1,40,23.9,72.6,151,160,443,685,310,0,4/12/2026 15:12
103,3/9/2026 1:41,2026,3,9,1,41,23.9,72.3,154,163,427,617,312,0,4/12/2026 15:12
104,3/9/2026 1:42,2026,3,9,1,42,23.8,72.6,146,155,411,627,313,0,4/12/2026 15:12
105,3/9/2026 1:43,2026,3,9,1,43,23.8,72.4,154,164,513,623,312,0,4/12/2026 15:12
106,3/9/2026 1:44,2026,3,9,1,44,23.9,72.7,150,159,470,669,323,0,4/12/2026 15:12
107,3/9/2026 1:45,2026,3,9,1,45,23.9,72.7,146,157,473,628,327,0,4/12/2026 15:12
108,3/9/2026 1:46,2026,3,9,1,46,23.9,72.6,146,154,414,677,317,0,4/12/2026 15:12
109,3/9/2026 1:47,2026,3,9,1,47,23.9,72.6,153,164,467,641,340,0,4/12/2026 15:12
110,3/9/2026 1:48,2026,3,9,1,48,23.9,72.1,154,163,470,654,306,0,4/12/2026 15:12
111,3/9/2026 1:49,2026,3,9,1,49,23.8,72.6,152,162,466,638,318,0,4/12/2026 15:12
112,3/9/2026 1:50,2026,3,9,1,50,23.9,72.8,150,159,426,670,311,0,4/12/2026 15:12
113,3/9/2026 1:51,2026,3,9,1,51,23.9,72.6,155,164,423,654,312,0,4/12/2026 15:12
114,3/9/2026 1:52,2026,3,9,1,52,23.8,72.8,148,158,440,656,303,0,4/12/2026 15:12
115,3/9/2026 1:53,2026,3,9,1,53,23.8,72.6,143,152,468,638,331,0,4/12/2026 15:12
116,3/9/2026 1:54,2026,3,9,1,54,23.8,72.6,153,162,532,644,317,0,4/12/2026 15:12
117,3/9/2026 1:55,2026,3,9,1,55,23.8,72.6,148,160,474,653,288,0,4/12/2026 15:12
118,3/9/2026 1:56,2026,3,9,1,56,23.8,72.4,150,161,469,572,343,0,4/12/2026 15:12
119,3/9/2026 1:57,2026,3,9,1,57,23.8,72.8,153,162,463,658,308,0,4/12/2026 15:12
120,3/9/2026 1:58,2026,3,9,1,58,23.8,72.8,153,163,426,584,310,0,4/12/2026 15:12
121,3/9/2026 1:59,2026,3,9,1,59,23.9,72.8,159,168,471,653,331,0,4/12/2026 15:12
122,3/9/2026 2:00,2026,3,9,2,0,23.8,72.8,157,167,474,622,318,0,4/12/2026 15:12
123,3/9/2026 2:01,2026,3,9,2,1,23.8,72.8,156,166,412,608,316,0,4/12/2026 15:12
124,3/9/2026 2:02,2026,3,9,2,2,23.8,72.9,155,165,451,644,314,0,4/12/2026 15:12
125,3/9/2026 2:03,2026,3,9,2,3,23.9,72.8,151,161,472,657,285,0,4/12/2026 15:12
126,3/9/2026 2:04,2026,3,9,2,4,23.9,72.8,155,165,473,659,311,0,4/12/2026 15:12
127,3/9/2026 2:05,2026,3,9,2,5,23.9,72.7,150,159,476,596,310,0,4/12/2026 15:12
128,3/9/2026 2:06,2026,3,9,2,6,23.8,72.6,155,164,474,661,316,0,4/12/2026 15:12
129,3/9/2026 2:07,2026,3,9,2,7,23.8,72.5,157,168,429,661,312,0,4/12/2026 15:12
130,3/9/2026 2:08,2026,3,9,2,8,23.8,72.6,159,170,478,670,313,0,4/12/2026 15:12
131,3/9/2026 2:09,2026,3,9,2,9,23.8,72.7,159,169,481,564,282,0,4/12/2026 15:12
132,3/9/2026 2:10,2026,3,9,2,10,23.8,72.7,154,163,479,545,285,0,4/12/2026 15:12
133,3/9/2026 2:11,2026,3,9,2,11,23.8,72.9,154,164,481,695,329,0,4/12/2026 15:12
134,3/9/2026 2:13,2026,3,9,2,13,23.8,72.8,155,166,481,683,298,0,4/12/2026 15:12
135,3/9/2026 2:14,2026,3,9,2,14,23.8,72.8,157,167,488,636,317,0,4/12/2026 15:12
136,3/9/2026 2:15,2026,3,9,2,15,23.8,72.9,150,160,442,730,314,0,4/12/2026 15:12
137,3/9/2026 2:16,2026,3,9,2,16,23.8,72.8,152,161,485,699,295,0,4/12/2026 15:12
138,3/9/2026 2:17,2026,3,9,2,17,23.8,72.8,148,159,464,693,256,0,4/12/2026 15:12
139,3/9/2026 2:18,2026,3,9,2,18,23.8,72.8,150,160,500,627,252,0,4/12/2026 15:12
140,3/9/2026 2:19,2026,3,9,2,19,23.8,72.6,146,156,390,694,281,0,4/12/2026 15:12
141,3/9/2026 2:20,2026,3,9,2,20,23.8,72.7,147,156,559,693,316,0,4/12/2026 15:12
142,3/9/2026 2:21,2026,3,9,2,21,23.8,72.9,144,153,487,685,285,0,4/12/2026 15:12
143,3/9/2026 2:22,2026,3,9,2,22,23.8,72.8,148,158,475,621,317,0,4/12/2026 15:12
144,3/9/2026 2:23,2026,3,9,2,23,23.8,72.9,144,153,484,712,332,0,4/12/2026 15:12
145,3/9/2026 2:24,2026,3,9,2,24,23.8,72.9,148,158,470,699,277,0,4/12/2026 15:12
146,3/9/2026 2:25,2026,3,9,2,25,23.8,72.9,157,167,392,700,314,0,4/12/2026 15:12
147,3/9/2026 2:26,2026,3,9,2,26,23.8,72.9,156,166,488,695,296,0,4/12/2026 15:12
148,3/9/2026 2:27,2026,3,9,2,27,23.8,73.1,152,162,467,704,315,0,4/12/2026 15:12
149,3/9/2026 2:28,2026,3,9,2,28,23.8,73.1,151,160,492,694,294,0,4/12/2026 15:12
150,3/9/2026 2:29,2026,3,9,2,29,23.8,72.8,152,161,427,685,305,0,4/12/2026 15:12
151,3/9/2026 2:30,2026,3,9,2,30,23.8,72.8,157,167,487,693,313,0,4/12/2026 15:12
152,3/9/2026 2:31,2026,3,9,2,31,23.8,72.8,153,162,544,701,249,0,4/12/2026 15:12
153,3/9/2026 2:32,2026,3,9,2,32,23.8,72.8,155,164,438,730,290,0,4/12/2026 15:12
154,3/9/2026 2:33,2026,3,9,2,33,23.8,72.7,146,155,488,698,318,0,4/12/2026 15:12
155,3/9/2026 2:34,2026,3,9,2,34,23.8,72.6,143,153,511,798,309,0,4/12/2026 15:12
156,3/9/2026 2:35,2026,3,9,2,35,23.9,72.6,137,147,475,699,302,0,4/12/2026 15:12
157,3/9/2026 2:36,2026,3,9,2,36,23.8,72.4,133,141,486,692,284,0,4/12/2026 15:12
158,3/9/2026 2:37,2026,3,9,2,37,23.8,72.6,136,146,495,714,302,0,4/12/2026 15:12
159,3/9/2026 2:38,2026,3,9,2,38,23.8,72.6,141,150,484,652,318,0,4/12/2026 15:12
160,3/9/2026 2:39,2026,3,9,2,39,23.8,72.6,144,154,531,644,317,0,4/12/2026 15:12
161,3/9/2026 2:40,2026,3,9,2,40,23.8,72.4,143,153,477,668,353,0,4/12/2026 15:12
162,3/9/2026 2:41,2026,3,9,2,41,23.8,72.4,151,160,431,703,315,0,4/12/2026 15:12
163,3/9/2026 2:42,2026,3,9,2,42,23.8,72.6,152,162,488,705,284,0,4/12/2026 15:12
164,3/9/2026 2:43,2026,3,9,2,43,23.8,72.5,173,185,472,710,313,0,4/12/2026 15:12
165,3/9/2026 2:44,2026,3,9,2,44,23.8,72.8,169,180,438,713,321,0,4/12/2026 15:12
166,3/9/2026 2:45,2026,3,9,2,45,23.8,72.8,212,226,443,717,319,0,4/12/2026 15:12
167,3/9/2026 2:46,2026,3,9,2,46,23.8,72.6,185,197,486,709,316,0,4/12/2026 15:12
168,3/9/2026 2:47,2026,3,9,2,47,24,72.6,174,185,449,711,303,0,4/12/2026 15:12
169,3/9/2026 2:48,2026,3,9,2,48,24,72.1,173,186,489,698,308,0,4/12/2026 15:12
170,3/9/2026 2:49,2026,3,9,2,49,24,72.2,243,257,498,670,327,0,4/12/2026 15:12
171,3/9/2026 2:50,2026,3,9,2,50,24,72.4,210,566,441,654,293,0,4/12/2026 15:12
172,3/9/2026 2:51,2026,3,9,2,51,23.9,72,184,207,500,673,292,0,4/12/2026 15:12
173,3/9/2026 2:52,2026,3,9,2,52,23.9,72.2,174,190,488,654,321,0,4/12/2026 15:12
174,3/9/2026 2:53,2026,3,9,2,53,23.8,72.2,171,189,489,655,329,0,4/12/2026 15:12
175,3/9/2026 2:54,2026,3,9,2,54,23.5,69.9,232,471,458,503,344,0,4/12/2026 15:12
176,3/9/2026 2:55,2026,3,9,2,55,22.9,70.2,192,212,420,466,295,0,4/12/2026 15:12
177,3/9/2026 2:56,2026,3,9,2,56,22.6,71.2,179,196,488,503,335,0,4/12/2026 15:12
178,3/9/2026 2:57,2026,3,9,2,57,22.4,72,189,205,489,442,334,0,4/12/2026 15:12
179,3/9/2026 2:59,2026,3,9,2,59,22.1,72.9,203,221,462,468,334,0,4/12/2026 15:12
180,3/9/2026 3:00,2026,3,9,3,0,22.1,73.1,199,215,461,459,433,0,4/12/2026 15:12
181,3/9/2026 3:01,2026,3,9,3,1,22.1,73.3,211,229,458,452,334,0,4/12/2026 15:12
182,3/9/2026 3:02,2026,3,9,3,2,22,73.6,203,218,487,459,339,0,4/12/2026 15:12
183,3/9/2026 3:03,2026,3,9,3,3,22,73.7,186,199,427,451,336,0,4/12/2026 15:12
184,3/9/2026 3:04,2026,3,9,3,4,21.9,73.9,196,211,437,402,347,0,4/12/2026 15:12
185,3/9/2026 3:05,2026,3,9,3,5,21.9,74.1,197,215,458,406,344,0,4/12/2026 15:12
186,3/9/2026 3:06,2026,3,9,3,6,21.8,74.4,183,202,454,441,310,0,4/12/2026 15:12
187,3/9/2026 3:07,2026,3,9,3,7,21.8,74.4,188,204,422,447,339,0,4/12/2026 15:12
188,3/9/2026 3:08,2026,3,9,3,8,21.8,74.8,192,211,461,421,303,0,4/12/2026 15:12
189,3/9/2026 3:09,2026,3,9,3,9,21.8,74.8,182,198,412,411,351,0,4/12/2026 15:12
190,3/9/2026 3:10,2026,3,9,3,10,21.8,74.8,198,214,393,487,337,0,4/12/2026 15:12
191,3/9/2026 3:11,2026,3,9,3,11,21.8,75.4,194,209,392,453,341,0,4/12/2026 15:12
192,3/9/2026 3:12,2026,3,9,3,12,22.1,75.8,182,198,457,432,320,0,4/12/2026 15:12
193,3/9/2026 3:13,2026,3,9,3,13,22.4,75.3,188,205,461,448,340,0,4/12/2026 15:12
194,3/9/2026 3:14,2026,3,9,3,14,22.5,74.8,177,192,463,434,306,0,4/12/2026 15:12
195,3/9/2026 3:15,2026,3,9,3,15,22.7,74.5,185,201,480,465,319,0,4/12/2026 15:12
196,3/9/2026 3:16,2026,3,9,3,16,22.8,74,176,190,463,471,331,0,4/12/2026 15:12
197,3/9/2026 3:17,2026,3,9,3,17,22.8,73.8,168,183,416,468,339,0,4/12/2026 15:12
198,3/9/2026 3:18,2026,3,9,3,18,22.9,73.7,166,181,459,470,314,0,4/12/2026 15:12
199,3/9/2026 3:19,2026,3,9,3,19,23,73.5,169,185,505,466,317,0,4/12/2026 15:12
200,3/9/2026 3:20,2026,3,9,3,20,23,73.2,168,183,460,456,345,0,4/12/2026 15:12
201,3/9/2026 3:21,2026,3,9,3,21,23,73.2,166,179,459,466,311,0,4/12/2026 15:12
202,3/9/2026 3:22,2026,3,9,3,22,23.1,73.1,165,179,453,490,265,0,4/12/2026 15:12
203,3/9/2026 3:23,2026,3,9,3,23,23.1,73,169,182,463,480,298,0,4/12/2026 15:12
204,3/9/2026 3:24,2026,3,9,3,24,23.2,72.8,160,171,459,474,305,0,4/12/2026 15:12
205,3/9/2026 3:25,2026,3,9,3,25,23.2,72.5,163,178,471,433,304,0,4/12/2026 15:12
206,3/9/2026 3:26,2026,3,9,3,26,23.3,72.5,164,179,470,382,319,0,4/12/2026 15:12
207,3/9/2026 3:27,2026,3,9,3,27,23.2,72.4,156,169,390,381,271,0,4/12/2026 15:12
208,3/9/2026 3:28,2026,3,9,3,28,23.2,72.4,147,162,505,477,348,0,4/12/2026 15:12
209,3/9/2026 3:29,2026,3,9,3,29,23.2,72.6,144,157,472,482,338,0,4/12/2026 15:12
210,3/9/2026 3:30,2026,3,9,3,30,23.2,72.6,156,167,419,480,303,0,4/12/2026 15:12
211,3/9/2026 3:31,2026,3,9,3,31,23.4,72.5,154,166,462,497,324,0,4/12/2026 15:12
212,3/9/2026 3:32,2026,3,9,3,32,23.4,72.3,160,173,468,478,339,0,4/12/2026 15:12
213,3/9/2026 3:33,2026,3,9,3,33,23.4,72.1,162,177,464,476,329,0,4/12/2026 15:12
214,3/9/2026 3:34,2026,3,9,3,34,23.5,71.9,164,176,451,438,337,0,4/12/2026 15:12
215,3/9/2026 3:35,2026,3,9,3,35,23.5,71.9,162,176,462,482,303,0,4/12/2026 15:12
216,3/9/2026 3:36,2026,3,9,3,36,22.9,70.6,206,222,460,377,337,0,4/12/2026 15:12
217,3/9/2026 3:37,2026,3,9,3,37,22.6,71.6,228,246,395,444,326,0,4/12/2026 15:12
218,3/9/2026 3:38,2026,3,9,3,38,22.4,72.5,207,223,405,457,346,0,4/12/2026 15:12
219,3/9/2026 3:39,2026,3,9,3,39,22.2,73.1,201,216,488,456,318,0,4/12/2026 15:12
220,3/9/2026 3:40,2026,3,9,3,40,22,73.9,206,222,399,421,331,0,4/12/2026 15:12
221,3/9/2026 3:41,2026,3,9,3,41,21.9,74.4,221,238,461,453,294,0,4/12/2026 15:12
222,3/9/2026 3:43,2026,3,9,3,43,21.8,74.7,234,252,433,450,336,0,4/12/2026 15:12
223,3/9/2026 3:44,2026,3,9,3,44,21.8,74.8,250,271,441,355,333,0,4/12/2026 15:12
224,3/9/2026 3:45,2026,3,9,3,45,21.8,75.4,266,287,451,448,330,0,4/12/2026 15:12
225,3/9/2026 3:46,2026,3,9,3,46,21.7,75.6,262,284,460,408,336,0,4/12/2026 15:12
226,3/9/2026 3:47,2026,3,9,3,47,21.7,75.9,246,265,450,382,343,0,4/12/2026 15:12
227,3/9/2026 3:48,2026,3,9,3,48,21.7,76,243,264,452,408,317,0,4/12/2026 15:12
228,3/9/2026 3:49,2026,3,9,3,49,21.7,76.3,219,237,389,450,339,0,4/12/2026 15:12
229,3/9/2026 3:50,2026,3,9,3,50,21.7,76.4,212,230,453,498,335,0,4/12/2026 15:12
230,3/9/2026 3:51,2026,3,9,3,51,21.6,76.1,200,215,449,448,331,0,4/12/2026 15:12
231,3/9/2026 3:52,2026,3,9,3,52,21.5,76.7,95,106,435,441,338,0,4/12/2026 15:12
232,3/9/2026 3:53,2026,3,9,3,53,21.6,76.7,95,112,436,444,340,0,4/12/2026 15:12
233,3/9/2026 3:54,2026,3,9,3,54,21.6,76.8,106,155,436,435,346,0,4/12/2026 15:12
234,3/9/2026 3:55,2026,3,9,3,55,21.5,77,118,140,435,426,335,0,4/12/2026 15:12
235,3/9/2026 3:56,2026,3,9,3,56,21.5,77.1,115,147,436,432,344,0,4/12/2026 15:12
236,3/9/2026 3:57,2026,3,9,3,57,21.5,77.2,115,135,432,433,341,0,4/12/2026 15:12
237,3/9/2026 3:58,2026,3,9,3,58,21.6,77.2,118,138,438,432,343,0,4/12/2026 15:12
238,3/9/2026 3:59,2026,3,9,3,59,21.6,77.2,113,129,438,431,337,0,4/12/2026 15:12
239,3/9/2026 4:00,2026,3,9,4,0,21.5,77.5,104,123,433,431,339,0,4/12/2026 15:12
240,3/9/2026 4:01,2026,3,9,4,1,21.5,77.7,111,140,437,432,343,0,4/12/2026 15:12
241,3/9/2026 4:02,2026,3,9,4,2,21.5,77.6,95,116,439,432,339,0,4/12/2026 15:12
242,3/9/2026 4:03,2026,3,9,4,3,21.6,77.7,106,162,436,432,344,0,4/12/2026 15:12
243,3/9/2026 4:04,2026,3,9,4,4,21.6,77.4,96,125,435,440,336,0,4/12/2026 15:12
244,3/9/2026 4:05,2026,3,9,4,5,21.7,77.5,87,124,441,425,343,0,4/12/2026 15:12
245,3/9/2026 4:06,2026,3,9,4,6,21.7,77.4,88,122,445,433,342,0,4/12/2026 15:12
246,3/9/2026 4:07,2026,3,9,4,7,21.7,77.6,89,112,446,425,344,0,4/12/2026 15:12
247,3/9/2026 4:08,2026,3,9,4,8,21.6,77.9,85,108,443,429,343,0,4/12/2026 15:12
248,3/9/2026 4:09,2026,3,9,4,9,21.8,78.3,87,135,443,436,346,0,4/12/2026 15:12
249,3/9/2026 4:10,2026,3,9,4,10,22,78.3,95,174,442,443,338,0,4/12/2026 15:12
250,3/9/2026 4:11,2026,3,9,4,11,22.3,77.9,92,154,445,442,346,0,4/12/2026 15:12
251,3/9/2026 4:12,2026,3,9,4,12,22.4,77.5,98,227,447,438,346,0,4/12/2026 15:12
252,3/9/2026 4:13,2026,3,9,4,13,22.5,77.2,102,229,447,440,344,0,4/12/2026 15:12
253,3/9/2026 4:14,2026,3,9,4,14,22.4,76.5,114,230,442,437,347,0,4/12/2026 15:12
