reading_time,pm25,pm10,co,lpg,hydrogen,temperature,humidity,anomaly_score
2026-03-29 17:04:18,500.0,250.0,0.558,0.463,0.344,26.9,67.1,-0.6090064164371395
2026-03-27 00:49:24,97.0,103.0,0.687,0.375,0.366,13.1,36.3,-0.6087475491224197
2026-04-04 13:34:54,319.0,515.0,1.077,0.531,0.406,29.5,67.3,-0.6085901120512354
2026-03-17 17:28:06,2.0,2.0,0.594,0.669,0.68,28.0,67.9,-0.6085637136656166
2026-03-13 12:16:09,500.0,303.0,0.496,0.437,0.33,28.7,70.5,-0.6083181113921551
2026-03-27 08:37:16,500.0,600.0,0.525,0.457,0.33,25.1,82.5,-0.6077328666023455
2026-03-22 04:54:14,500.0,600.0,0.565,0.461,0.318,23.9,73.7,-0.6071342179098461
2026-03-27 09:30:44,467.0,227.0,0.606,0.457,0.366,25.8,77.0,-0.6069293973608576
2026-03-23 05:25:24,500.0,587.0,0.517,0.439,0.337,24.3,75.4,-0.6068477178883087
2026-03-21 05:32:47,500.0,600.0,0.477,0.412,0.347,23.8,70.3,-0.6068150349939503
2026-04-03 05:16:26,500.0,286.0,0.523,0.454,0.385,24.2,72.2,-0.6065319517088394
2026-04-02 18:30:27,500.0,600.0,0.812,0.562,0.396,25.0,50.0,-0.6062020434318289
2026-04-04 13:32:23,29.0,316.0,0.807,0.53,0.407,29.5,63.5,-0.6060493213715376
2026-03-10 04:31:47,287.0,317.0,0.321,0.309,0.255,23.4,78.7,-0.6060275352344053
2026-03-23 18:38:20,404.0,600.0,0.524,0.435,0.327,23.4,75.9,-0.6055198686464217
2026-03-17 23:22:54,246.0,268.0,0.492,0.443,0.347,13.1,34.2,-0.6054892913341716
2026-03-11 04:27:59,236.0,466.0,0.393,0.446,0.297,22.1,80.4,-0.6054225021683888
2026-03-11 13:08:24,500.0,334.0,0.846,0.459,0.299,26.2,76.6,-0.6053976609333285
2026-03-12 00:49:04,290.0,566.0,0.66,0.473,0.3,24.4,69.7,-0.6052986605829895
2026-03-15 14:54:20,500.0,464.0,0.442,0.461,0.311,28.1,61.3,-0.6051866334810976
2026-03-28 07:22:08,500.0,600.0,0.533,0.415,0.377,24.3,74.5,-0.6050953370504419
2026-03-14 05:05:51,500.0,600.0,0.488,0.426,0.32,24.2,77.2,-0.6050895529275649
2026-03-10 05:11:38,82.0,390.0,0.404,0.354,0.244,23.8,77.9,-0.6050604126785818
2026-03-17 03:20:49,312.0,339.0,0.587,0.452,0.341,12.4,33.1,-0.6047447659177484
2026-03-12 19:02:22,500.0,552.0,0.762,0.5,0.31,13.1,73.6,-0.6047154184001123
2026-03-10 04:13:43,500.0,600.0,0.384,0.31,0.284,23.4,78.5,-0.6046363477473186
2026-03-09 04:26:05,139.0,355.0,0.368,0.365,0.279,22.4,76.1,-0.6044142912589214
2026-04-04 13:28:20,336.0,595.0,1.027,0.575,0.367,29.5,66.9,-0.6041011102037263
2026-03-09 04:28:37,217.0,285.0,0.409,0.301,0.275,22.2,76.9,-0.6031924183965497
2026-03-24 02:17:12,78.0,82.0,0.603,0.396,0.376,12.4,37.0,-0.6031833421136853
2026-03-13 09:41:27,500.0,600.0,0.928,0.528,0.368,25.0,50.0,-0.6031071166526522
2026-03-27 11:10:03,319.0,600.0,0.678,0.471,0.367,26.9,77.5,-0.602890153354633
2026-03-24 06:12:41,500.0,600.0,0.591,0.451,0.359,23.0,78.0,-0.6024499800386386
2026-03-10 03:45:36,500.0,569.0,0.38,0.395,0.288,24.0,75.4,-0.6023945200762507
2026-03-28 21:55:45,500.0,182.0,0.738,0.508,0.375,25.0,67.0,-0.6019396547072046
2026-03-17 04:18:35,447.0,498.0,0.459,0.376,0.327,22.0,74.2,-0.6019336959350355
2026-03-21 18:56:39,286.0,317.0,0.751,0.49,0.355,13.4,36.0,-0.6009829668602942
2026-03-27 08:22:33,389.0,484.0,0.562,0.455,0.367,24.6,94.5,-0.6009578625204602
2026-04-01 19:54:56,500.0,378.0,0.538,0.463,0.391,23.2,73.2,-0.6009341758523333
2026-03-14 05:09:55,500.0,600.0,0.487,0.421,0.322,24.1,77.5,-0.6009177446133839
2026-03-14 05:07:54,474.0,529.0,0.455,0.336,0.268,24.2,77.2,-0.6007035521947206
2026-03-09 02:53:48,259.0,600.0,0.484,0.382,0.266,23.8,70.7,-0.6006301913467231
2026-03-11 12:06:11,197.0,214.0,0.838,0.47,0.267,13.1,38.0,-0.6005442777371571
2026-03-27 06:07:18,500.0,600.0,0.517,0.45,0.364,23.8,77.3,-0.6005148812845054
2026-03-09 02:54:18,231.0,519.0,0.455,0.37,0.238,23.5,69.9,-0.6003558875649826
2026-03-16 05:30:44,500.0,600.0,0.48,0.423,0.341,25.0,50.0,-0.6002073896369711
2026-03-15 02:47:50,500.0,367.0,0.477,0.4,0.324,25.2,69.3,-0.6001759846542973
2026-03-30 11:28:16,156.0,165.0,1.028,0.581,0.387,25.0,50.0,-0.6001390068756476
2026-03-27 11:05:01,223.0,325.0,0.647,0.476,0.331,13.4,37.0,-0.5997237250454707
2026-03-25 04:33:06,282.0,600.0,0.508,0.439,0.324,23.3,75.4,-0.5996850978194507
2026-03-12 16:25:00,243.0,268.0,0.901,0.555,0.316,25.0,50.0,-0.5996732345480459
2026-03-22 06:09:08,500.0,166.0,0.568,0.453,0.344,25.4,72.3,-0.5996618770522714
2026-03-18 04:09:05,434.0,484.0,0.395,0.351,0.345,23.2,73.8,-0.599554034034281
2026-03-21 05:58:58,448.0,499.0,0.501,0.422,0.351,23.9,68.2,-0.5992889417146584
2026-03-19 19:40:42,356.0,389.0,1.293,0.454,1.056,25.0,50.0,-0.5992887970861773
2026-03-10 04:45:53,405.0,446.0,0.367,0.384,0.299,23.6,78.1,-0.5992647747931514
2026-03-17 04:49:02,500.0,600.0,0.491,0.447,0.342,22.9,76.2,-0.5990776992558379
2026-03-23 13:34:30,500.0,275.0,0.513,0.442,0.361,26.7,66.9,-0.5989443894861873
2026-03-28 16:35:58,500.0,344.0,0.534,0.445,0.339,24.6,65.0,-0.5988027346794743
2026-03-14 05:48:04,399.0,461.0,0.434,0.43,0.339,24.8,76.0,-0.5987223603435795
2026-03-30 19:14:30,202.0,217.0,0.877,0.536,0.321,13.4,33.2,-0.5986487235138845
2026-03-13 08:35:06,500.0,315.0,0.428,0.413,0.32,26.5,71.8,-0.5979875510007177
2026-03-23 19:10:29,494.0,600.0,0.519,0.438,0.362,23.4,76.2,-0.5979567450504004
2026-03-17 04:33:48,495.0,554.0,0.475,0.43,0.346,22.6,76.2,-0.5979236350065429
2026-03-22 05:26:24,469.0,517.0,0.449,0.409,0.318,24.1,76.3,-0.5977602784546604
2026-03-30 16:24:21,500.0,600.0,0.646,0.479,0.34,25.4,67.0,-0.5976220610239974
2026-03-31 02:19:02,20.0,90.0,0.928,0.477,0.446,25.8,72.7,-0.5974442914234401
2026-04-04 05:15:32,500.0,600.0,0.5,0.467,0.399,24.3,73.1,-0.5972372435956159
2026-03-10 15:34:22,500.0,600.0,0.404,0.355,0.264,25.9,68.3,-0.5970261435868568
2026-03-17 17:30:07,2.0,2.0,0.49,0.463,0.554,28.0,68.0,-0.5967776181801329
2026-03-10 03:51:07,500.0,600.0,0.424,0.395,0.246,23.8,76.4,-0.5967083624741248
2026-03-20 06:17:15,500.0,600.0,0.467,0.446,0.297,25.0,50.0,-0.596697601868488
2026-04-04 13:25:19,336.0,409.0,1.044,0.579,0.392,29.5,66.4,-0.5965638094760681
2026-03-12 19:17:36,500.0,571.0,0.686,0.494,0.297,13.0,73.3,-0.5965531419801293
2026-03-10 03:49:37,500.0,600.0,0.413,0.348,0.282,23.8,76.4,-0.5964723227380986
2026-04-03 16:01:04,500.0,359.0,0.597,0.463,0.378,27.6,62.0,-0.5964069865663452
2026-03-16 17:46:27,500.0,600.0,0.802,0.528,0.342,25.0,50.0,-0.5963850305983681
2026-03-20 06:29:29,160.0,241.0,0.516,0.396,0.355,13.1,34.4,-0.596101454459696
2026-03-15 00:22:56,500.0,381.0,0.471,0.416,0.304,25.7,68.6,-0.595931286706765
2026-04-05 05:01:33,500.0,600.0,0.558,0.459,0.379,23.8,73.6,-0.5957568439614019
2026-04-04 15:34:16,440.0,485.0,0.543,0.475,0.402,28.1,57.5,-0.5952452312770535
2026-03-13 05:09:45,500.0,265.0,0.569,0.413,0.321,25.4,70.7,-0.5951731960544241
2026-03-30 11:38:06,151.0,159.0,1.031,0.588,0.384,25.0,50.0,-0.5951244731182815
2026-03-13 10:27:49,500.0,600.0,0.864,0.621,0.275,27.2,78.8,-0.5950884298240285
2026-03-14 05:20:30,500.0,600.0,0.421,0.376,0.318,24.2,77.5,-0.5948749547302341
2026-03-14 05:38:30,500.0,600.0,0.509,0.425,0.286,24.8,75.5,-0.594814880856968
2026-03-09 03:51:50,97.0,108.0,0.355,0.35,0.273,21.6,76.5,-0.5945702322730337
2026-03-17 03:06:16,344.0,555.0,0.488,0.437,0.303,24.5,63.2,-0.5945006529013661
2026-03-20 08:26:09,500.0,600.0,0.517,0.398,0.355,25.0,50.0,-0.5941487911036857
2026-03-22 05:00:47,500.0,600.0,0.549,0.508,0.347,23.9,74.0,-0.5936981602197954
2026-03-27 09:32:14,500.0,600.0,0.593,0.411,0.364,25.8,76.6,-0.5934915545528014
2026-03-18 00:11:32,248.0,272.0,0.568,0.452,0.348,13.0,34.1,-0.5932095709443925
2026-03-10 03:51:37,471.0,519.0,0.421,0.382,0.25,23.8,76.4,-0.5931306195371762
2026-03-14 13:07:07,16.0,600.0,0.752,0.461,0.326,28.7,70.2,-0.5929982668670514
2026-03-15 19:25:27,435.0,473.0,0.546,0.436,0.296,3.0,82.2,-0.5928563040848496
2026-03-21 20:39:33,500.0,382.0,0.884,0.509,0.357,26.7,72.1,-0.5928340015652249
2026-03-15 04:23:03,500.0,381.0,0.517,0.43,0.322,25.5,69.8,-0.5928318969576644
2026-03-10 04:15:44,314.0,348.0,0.376,0.308,0.256,23.4,78.7,-0.5925535216112215
2026-03-31 11:25:46,346.0,399.0,0.944,0.539,0.346,27.6,71.7,-0.5924666983147472
2026-04-04 13:30:52,334.0,420.0,0.966,0.575,0.396,29.5,66.7,-0.5923015733371501
2026-03-17 04:20:07,443.0,495.0,0.461,0.381,0.32,22.1,74.4,-0.5919961550900262
2026-03-15 14:38:16,500.0,413.0,0.495,0.465,0.324,28.4,60.9,-0.5918396767004971
2026-03-27 08:32:13,473.0,526.0,0.545,0.469,0.366,24.9,82.9,-0.591774742498816
2026-04-03 14:59:27,360.0,600.0,0.597,0.476,0.395,27.7,61.8,-0.5916993185347904
2026-04-01 21:42:24,500.0,332.0,0.612,0.47,0.392,25.3,69.9,-0.5916414874170454
2026-03-17 04:35:19,454.0,505.0,0.429,0.439,0.34,139.1,76.3,-0.5916093103255781
2026-03-10 04:46:53,386.0,422.0,0.326,0.391,0.255,23.6,78.2,-0.5914670189714454
2026-03-09 02:58:44,107.0,113.0,0.419,0.342,0.268,22.3,72.5,-0.5911592342177385
2026-03-16 06:51:40,500.0,363.0,0.464,0.421,0.298,25.0,67.7,-0.5906520706593587
2026-03-12 18:38:42,500.0,568.0,0.76,0.496,0.28,25.0,50.0,-0.5906344214198131
2026-03-10 03:44:06,480.0,532.0,0.428,0.349,0.257,24.1,74.7,-0.5906333701630295
2026-03-10 04:16:14,357.0,392.0,0.284,0.347,0.285,23.4,78.6,-0.5905308050879797
2026-03-30 16:29:36,500.0,600.0,0.587,0.415,0.381,25.0,50.0,-0.5904433362451448
2026-03-14 05:06:53,500.0,600.0,0.39,0.422,0.313,24.2,77.3,-0.5899971011318557
2026-03-25 20:52:50,500.0,318.0,0.572,0.454,0.328,25.2,68.0,-0.5899600686669323
2026-03-22 05:26:55,500.0,600.0,0.535,0.449,0.342,24.1,76.5,-0.5899320784485675
2026-03-27 11:55:26,243.0,600.0,0.803,0.488,0.372,26.9,82.8,-0.5899169232301882
2026-03-25 04:25:00,432.0,482.0,0.521,0.454,0.352,23.4,75.5,-0.5898498202781919
2026-03-22 05:05:48,467.0,517.0,0.641,0.475,0.353,23.9,74.5,-0.5897248409109506
2026-03-10 03:49:07,500.0,600.0,0.369,0.371,0.281,23.8,76.1,-0.5896567198827479
2026-03-27 08:32:43,500.0,564.0,0.578,0.446,0.425,24.9,83.2,-0.5895559370685308
2026-03-27 11:42:02,275.0,600.0,0.831,0.491,0.367,26.8,83.2,-0.5894440408542453
2026-03-17 08:07:37,260.0,285.0,0.529,0.363,0.317,13.1,34.0,-0.5892146287402532
2026-03-18 15:40:07,500.0,600.0,0.4,0.397,0.349,27.5,59.0,-0.5891643947184018
2026-03-22 17:54:00,500.0,313.0,0.756,0.484,0.363,26.6,71.7,-0.5891205158967099
2026-03-16 19:44:25,232.0,600.0,0.676,0.476,0.404,27.0,68.1,-0.5890068035195096
2026-03-19 18:24:07,500.0,600.0,0.595,0.442,0.317,25.0,50.0,-0.5890065633060063
2026-03-09 04:26:36,136.0,410.0,0.37,0.367,0.279,22.3,76.5,-0.5887113696698258
2026-03-27 11:14:06,334.0,600.0,0.818,0.502,0.297,26.7,80.3,-0.5886984315140805
2026-03-27 11:22:10,431.0,600.0,0.773,0.505,0.369,26.8,81.3,-0.5884945261542196
2026-03-10 03:46:06,500.0,594.0,0.432,0.393,0.284,23.9,75.6,-0.5883843261324507
2026-03-11 20:21:43,500.0,393.0,0.554,0.387,0.268,25.8,71.1,-0.5882683713862582
2026-03-20 05:01:10,497.0,548.0,0.523,0.445,0.347,25.0,50.0,-0.5882577857776874
2026-03-21 07:49:12,14.0,146.0,0.612,0.396,0.32,25.8,63.0,-0.5880668449351378
2026-03-11 16:18:14,500.0,423.0,0.43,0.356,0.294,25.6,71.0,-0.5880643932244691
2026-03-10 04:30:17,293.0,338.0,0.401,0.356,0.27,23.4,78.9,-0.5879457224435388
2026-04-05 04:59:02,407.0,526.0,0.548,0.468,0.359,23.8,74.2,-0.5879054261551871
2026-03-22 05:19:53,500.0,600.0,0.726,0.492,0.318,23.9,74.7,-0.587760792221358
2026-03-14 13:07:37,500.0,600.0,0.732,0.474,0.325,28.8,70.2,-0.5877522745361278
2026-03-14 05:47:34,92.0,389.0,0.468,0.425,0.288,24.8,75.7,-0.5875580929552653
2026-04-04 04:57:59,500.0,600.0,0.483,0.462,0.351,24.2,74.6,-0.5875357960815599
2026-04-04 13:24:19,374.0,449.0,0.968,0.577,0.413,29.5,67.4,-0.5872511387392558
2026-03-17 03:49:25,420.0,464.0,0.46,0.317,0.305,23.0,65.1,-0.5872348158128946
2026-03-14 05:21:00,500.0,600.0,0.483,0.36,0.318,24.2,77.5,-0.5870998155043815
2026-03-19 00:23:02,11.0,148.0,0.778,0.533,0.349,26.4,68.3,-0.5869821103810575
2026-03-15 00:12:51,500.0,362.0,0.48,0.413,0.322,25.7,68.4,-0.5868134588812902
2026-04-02 04:12:00,500.0,600.0,0.519,0.447,0.396,23.8,73.1,-0.5867637009554257
2026-04-04 04:58:59,500.0,600.0,0.566,0.577,0.398,24.1,74.9,-0.5867602498227622
2026-03-16 05:09:48,462.0,513.0,0.477,0.351,0.375,23.3,74.1,-0.5866823085907056
2026-03-14 22:11:20,500.0,367.0,0.507,0.421,0.323,26.2,69.5,-0.5866136408100602
2026-03-13 12:02:04,32.0,314.0,0.484,0.391,0.273,28.4,70.9,-0.586517708648059
2026-03-10 03:48:07,500.0,600.0,0.411,0.388,0.28,23.8,75.9,-0.5863884007794868
2026-03-27 11:34:15,420.0,600.0,0.753,0.454,0.295,26.9,82.7,-0.5863447128425648
2026-03-16 05:23:50,500.0,567.0,0.454,0.432,0.298,23.3,75.0,-0.5862322202696859
